Diversification_Score,Local_Dependency,State,Visitors_2025,YoY_Growth_2025,Population_2025,Tourism_Intensity
42.53051038073945,75.22%,Sabah,22361.168,8.592516841523393,3754.5,5.955831135970169
55.756208153401175,65.22%,Sarawak,22721.527,15.775225073924029,2528.9,8.984747123255168
77.79856163884564,5.74%,Pulau Pinang,17717.979,6.703939817894855,1804.3,9.819863104805188
79.27994983056861,2.08%,Melaka,20832.201530282,8.907154204869675,1052,19.802472937530418
80.10072846174408,34.84%,Johor,18196.973,6.176999193270678,4204.1,4.328387288599225
81.1192982323417,7.04%,Negeri Sembilan,19356.545,8.839214886284323,1243.9,15.561174531714766
81.85397481384474,1.76%,Perlis,3755.682,16.439802717654832,297,12.645393939393939
83.05517537018964,15.28%,Perak,23642.055,8.568237540983356,2573.8,9.18566127904266
84.47877789081255,1.03%,W.P. Labuan,604.37,34.41496341436292,100.9,5.989791873141725
85.10147520602229,23.54%,Pahang,23161.166,14.80771469002784,1676.8,13.812718272900764
86.56398367662462,17.32%,Kedah,15607.884,6.527637661447994,2227.1,7.008164878092587
87.96237248001717,22.92%,Selangor,36376.442,5.558815800339817,7408.7,4.909962881477183
88.39456243559852,14.01%,Kelantan,12062.016,14.7188939066582,1906.9,6.325458073312706
88.84945425728247,13.12%,Terengganu,15462.278,6.925999852842825,1245.8,12.411525124418045
89.73046829103276,5.74%,W.P. Kuala Lumpur,35059.9331815272,29.933621365246232,2075.2,16.894724933272553
91.65693510131042,0.31%,W.P. Putrajaya,3146.484,23.061627730523202,120.7,26.068632974316486
